name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost,avg_sets_lost
blinkova a.,Grass,2023,3,2,0,1,7,6,0.6666666666666666
blinkova a.,Hard,2021,1,9,0,6,5,19,1
blinkova a.,Hard,2022,6,4,5,2,12,12,0.6666666666666666
blinkova a.,Hard,2023,7,7,4,4,17,15,0.14285714285714288
bogdan a.,Clay,2021,4,5,2,2,12,10,0
bogdan a.,Clay,2022,9,5,5,1,21,12,0.2222222222222222
bogdan a.,Clay,2023,2,3,0,1,6,7,0.5
bogdan a.,Grass,2022,1,1,1,0,2,2,0
bogdan a.,Grass,2023,1,2,1,0,3,5,1
bogdan a.,Hard,2021,3,7,1,1,9,15,0.33333333333333337
bogdan a.,Hard,2022,3,3,2,2,7,9,1
bogdan a.,Hard,2023,2,4,1,3,6,8,0
bolsova a.,Clay,2021,1,2,0,2,2,5,1
bolsova a.,Clay,2023,1,2,0,0,2,4,0
bolsova a.,Hard,2021,2,6,1,0,7,13,0.5
bonaventure y.,Clay,2021,2,2,2,1,4,6,1
bonaventure y.,Hard,2021,1,3,0,0,2,6,0
bonaventure y.,Hard,2022,3,2,3,0,7,4,0
bonaventure y.,Hard,2023,7,8,4,2,16,22,0.8571428571428571
bondar a.,Clay,2021,2,1,1,0,4,3,0.5
bondar a.,Clay,2022,10,8,3,3,22,17,0.1
bondar a.,Clay,2023,2,4,2,0,5,8,0
bondar a.,Hard,2022,5,9,1,3,14,19,0.2
bondar a.,Hard,2023,2,6,1,3,6,13,0.5
bondarenko k.,Hard,2021,1,1,1,0,3,3,1
bouchard e.,Clay,2023,2,2,2,0,5,5,0.5
bouchard e.,Hard,2021,4,3,3,0,8,7,0.25
bouchard e.,Hard,2022,3,4,3,0,9,8,0
boulter k.,Grass,2021,4,1,3,0,9,3,0.25
boulter k.,Grass,2022,7,4,7,0,15,11,0.42857142857142855
boulter k.,Grass,2023,5,2,0,0,10,4,0
boulter k.,Hard,2021,4,8,4,1,10,18,0.5
boulter k.,Hard,2022,2,3,2,0,6,7,0.5
bouzkova m.,Clay,2021,1,3,0,2,4,6,0
bouzkova m.,Clay,2022,3,2,1,0,7,5,0.33333333333333337
bouzkova m.,Clay,2023,3,4,1,2,7,10,0.6666666666666666
bouzkova m.,Grass,2021,2,3,0,3,4,7,0.5
bouzkova m.,Grass,2022,4,2,3,0,10,5,0.25
bouzkova m.,Hard,2021,11,12,3,6,28,29,0.45454545454545453
bouzkova m.,Hard,2022,20,8,5,1,43,21,0.25
bouzkova m.,Hard,2023,3,7,0,4,7,15,0.33333333333333337
brace c.,Hard,2022,1,1,1,0,2,2,0
brady j.,Clay,2021,5,2,0,1,11,5,0.2
brady j.,Hard,2021,10,5,0,4,23,12,0.20000000000000004
brancaccio n.,Clay,2023,2,2,2,0,5,4,0
brengle m.,Clay,2021,2,3,0,2,5,7,0.5
brengle m.,Clay,2022,2,2,1,0,4,4,0
brengle m.,Clay,2023,1,2,1,0,2,4,0
brengle m.,Grass,2021,2,3,1,1,6,7,0.5
brengle m.,Hard,2021,2,8,0,1,5,16,0
brengle m.,Hard,2022,8,9,3,2,18,21,0.375
brengle m.,Hard,2023,3,8,0,1,10,16,0
bronzetti l.,Clay,2021,4,2,3,0,9,4,0
bronzetti l.,Clay,2022,7,6,4,3,15,16,0.5714285714285714
bronzetti l.,Clay,2023,5,3,0,0,11,8,0.4
bronzetti l.,Grass,2023,3,1,3,0,6,3,0.33333333333333337
bronzetti l.,Hard,2021,2,2,2,0,4,5,0.5
bronzetti l.,Hard,2022,4,6,2,2,10,15,0.75
bucsa c.,Clay,2021,1,4,1,1,4,9,1
bucsa c.,Clay,2022,1,2,1,1,4,4,0
bucsa c.,Clay,2023,2,6,1,2,7,14,1
bucsa c.,Hard,2022,3,6,2,1,6,14,0.6666666666666666
bucsa c.,Hard,2023,3,2,1,0,6,6,0.6666666666666666
burel c.,Clay,2021,5,3,3,0,11,8,0.4
burel c.,Clay,2022,3,5,3,0,7,10,0
burel c.,Clay,2023,3,3,0,3,7,7,0.33333333333333337
burel c.,Grass,2021,1,1,0,0,2,2,0
burel c.,Hard,2021,2,7,2,2,7,16,1
burel c.,Hard,2022,4,5,3,0,10,11,0.25
burel c.,Hard,2023,2,2,1,0,5,4,0
burillo i.,Clay,2023,1,1,1,0,2,3,1
burrage j.,Grass,2022,3,3,3,0,6,7,0.33333333333333337
burrage j.,Grass,2023,5,3,5,1,11,9,0.6
burrage j.,Hard,2022,1,1,1,0,2,2,0
buyukakcay c.,Clay,2023,1,1,1,0,2,2,0
buzarnescu m.,Clay,2021,2,3,2,1,5,7,0.5
buzarnescu m.,Grass,2022,1,1,0,0,2,2,0
buzarnescu m.,Hard,2021,1,6,0,0,5,13,1
cabrera l.,Grass,2021,1,1,1,0,3,3,1
cadantu a.,Clay,2022,1,2,0,1,2,5,1
carle m.,Clay,2022,1,2,1,0,2,5,1
chirico l.,Hard,2022,1,2,1,0,2,5,1
chwalinska m.,Clay,2022,1,1,0,0,3,2,0
chwalinska m.,Grass,2022,1,1,1,0,3,2,0
cirstea s.,Clay,2021,10,4,5,1,20,11,0.3
cirstea s.,Clay,2022,4,5,0,4,10,11,0.25
cirstea s.,Clay,2023,2,4,0,1,6,10,1
cirstea s.,Grass,2021,2,3,1,2,4,7,0.5
cirstea s.,Grass,2022,4,2,0,2,10,6,0.5
cirstea s.,Grass,2023,1,2,0,2,4,5,1
cirstea s.,Hard,2021,11,11,5,6,26,24,0.18181818181818182
cirstea s.,Hard,2022,14,12,3,6,31,28,0.2857142857142857
cirstea s.,Hard,2023,10,7,6,2,22,16,0.2
cocciaretto e.,Clay,2022,5,5,2,1,12,11,0.2
cocciaretto e.,Clay,2023,4,3,1,0,9,6,0
cocciaretto e.,Grass,2022,1,1,1,0,2,2,0
cocciaretto e.,Hard,2021,4,5,4,4,11,11,0.25
cocciaretto e.,Hard,2022,1,3,1,0,2,6,0
cocciaretto e.,Hard,2023,8,7,3,3,18,16,0.25
collins d.,Clay,2021,11,2,0,1,23,6,0.18181818181818177
collins d.,Clay,2022,3,4,0,4,7,8,0
collins d.,Grass,2021,1,1,0,1,2,3,1
collins d.,Hard,2021,24,8,6,3,52,22,0.25
collins d.,Hard,2022,17,5,5,2,37,13,0.1764705882352941
collins d.,Hard,2023,9,9,1,5,22,22,0.4444444444444444
contreras gomez f.,Clay,2022,1,1,1,0,2,2,0
contreras gomez f.,Hard,2022,1,3,0,0,2,6,0
cornet a.,Clay,2021,3,3,1,1,7,7,0.33333333333333337
cornet a.,Clay,2022,4,3,1,2,9,7,0.25
cornet a.,Clay,2023,3,5,0,1,8,11,0.33333333333333337
cornet a.,Grass,2021,5,3,3,1,12,8,0.4
cornet a.,Grass,2022,6,3,3,3,14,7,0.16666666666666666
cornet a.,Grass,2023,4,3,2,1,8,8,0.5
cornet a.,Hard,2021,15,14,4,6,31,35,0.4666666666666666
cornet a.,Hard,2022,16,16,8,10,40,37,0.3125
cristian j.,Clay,2021,2,2,0,1,6,5,0.5
cristian j.,Clay,2023,1,1,1,0,3,3,1
cristian j.,Hard,2021,9,6,6,0,20,17,0.5555555555555556
cristian j.,Hard,2022,4,8,1,3,9,16,0
da silva fick g.,Hard,2021,1,1,1,0,2,3,1
danilovic o.,Clay,2021,4,3,4,1,9,7,0.25
danilovic o.,Clay,2022,5,2,4,0,10,7,0.6
danilovic o.,Clay,2023,2,1,2,0,5,2,0
danilovic o.,Hard,2021,2,3,1,0,5,7,0.5
dart h.,Grass,2021,1,4,0,0,5,8,0
dart h.,Grass,2022,7,4,6,0,16,12,0.5714285714285714
dart h.,Grass,2023,5,3,5,0,11,9,0.6
dart h.,Hard,2021,3,5,3,0,9,11,0.33333333333333337
dart h.,Hard,2022,6,9,4,2,13,20,0.33333333333333337
davis l.,Clay,2021,3,4,1,0,7,9,0.33333333333333337
davis l.,Clay,2022,4,5,2,1,9,11,0.25
davis l.,Clay,2023,4,4,1,1,10,10,0.5
davis l.,Grass,2021,3,3,1,0,6,8,0.6666666666666666
davis l.,Grass,2022,3,4,3,0,8,8,0
davis l.,Hard,2021,5,8,1,3,13,18,0.4
davis l.,Hard,2022,5,8,3,1,11,19,0.6
davis l.,Hard,2023,8,3,6,0,17,8,0.25
day k.,Clay,2023,2,2,1,1,4,5,0.5
di giuseppe m.,Clay,2021,1,2,1,0,2,4,0
di lorenzo f.,Clay,2021,2,4,1,1,5,8,0
diatchenko v.,Clay,2021,1,1,0,0,2,2,0
diatchenko v.,Hard,2022,2,1,1,0,4,4,1
diyas z.,Clay,2021,4,5,2,0,9,10,0
diyas z.,Grass,2021,1,2,0,0,2,5,1
diyas z.,Hard,2021,8,8,3,0,17,21,0.625
dodin o.,Clay,2021,4,4,1,1,10,9,0.25
dodin o.,Clay,2022,4,5,2,1,10,11,0.25
